,title,magnitude,date_time,cdi,mmi,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,country
280,"M 6.6 - 28 km N of Sorong, Indonesia",6.6,24-09-2015 15:53,7,7,0,671,us,0,2.486,13.0,mww,18.0,-0.6212,131.262,Indonesia
281,"M 6.6 - 22 km WSW of Illapel, Chile",6.6,21-09-2015 17:40,5,7,1,820,us,0,1.064,14.0,mww,35.0,-31.7275,-71.3792,Chile
282,"M 6.7 - 61 km WNW of Illapel, Chile",6.7,17-09-2015 04:10,5,7,0,718,us,0,0.853,35.0,mww,23.0,-31.5173,-71.804,Chile
283,"M 6.5 - 54 km WNW of Illapel, Chile",6.5,17-09-2015 03:55,6,7,0,657,us,0,0.749,62.0,mww,27.0,-31.4244,-71.6876,Chile
284,"M 7.0 - 25 km WNW of Illapel, Chile",7.0,16-09-2015 23:18,8,7,0,799,us,0,0.903,13.0,mww,28.41,-31.5622,-71.4262,Chile
285,"M 8.3 - 48 km W of Illapel, Chile",8.3,16-09-2015 22:54,9,8,1,1960,us,0,0.684,19.0,mww,22.44,-31.5729,-71.6744,Chile
289,"M 7.0 - 234 km W of Abepura, Indonesia",7.0,27-07-2015 21:41,9,7,1,762,us,0,6.278,12.0,mww,48.0,-2.6286,138.528,Indonesia
293,"M 6.7 - 150 km WNW of Malango, Solomon Islands",6.7,10-07-2015 04:12,4,5,1,691,us,0,1.529,11.0,mww,12.0,-9.307,158.403,Solomon Islands
300,"M 6.8 - 32 km SE of ?funato, Japan",6.8,12-05-2015 21:12,8,6,1,831,us,0,1.422,8.0,mww,35.0,38.9056,142.032,Japan
301,M 7.3 - Nepal,7.3,12-05-2015 07:05,8,7,0,1563,us,0,0.677,11.0,mww,15.0,27.8087,86.0655,Nepal
303,"M 7.5 - 131 km SSW of Kokopo, Papua New Guinea",7.5,05-05-2015 01:44,7,8,1,869,us,0,1.295,22.0,mww,55.0,-5.4624,151.875,Papua New Guinea
304,"M 6.8 - 109 km SSW of Kokopo, Papua New Guinea",6.8,01-05-2015 08:06,5,6,1,714,us,0,1.074,23.0,mww,44.0,-5.2005,151.777,Papua New Guinea
305,"M 6.7 - 126 km SSW of Kokopo, Papua New Guinea",6.7,30-04-2015 10:45,5,6,1,692,us,0,1.239,12.0,mww,31.0,-5.375,151.771,Papua New Guinea
306,"M 6.7 - 21 km SSE of Kod?ri??, Nepal",6.7,26-04-2015 07:09,7,7,0,1016,us,0,0.727,13.0,mww,22.91,27.7711,86.0173,Nepal
307,"M 6.6 - 71 km NNE of Bharatpur, Nepal",6.6,25-04-2015 06:45,8,7,0,733,us,0,1.778,16.0,mww,10.0,28.2244,84.8216,Nepal
308,"M 7.8 - 67 km NNE of Bharatpur, Nepal",7.8,25-04-2015 06:11,8,9,0,2820,us,0,1.857,12.0,mww,8.22,28.2305,84.7314,Nepal
311,"M 7.5 - 53 km SE of Kokopo, Papua New Guinea",7.5,29-03-2015 23:48,6,7,1,872,us,0,0.666,19.0,mww,41.0,-4.7294,152.562,Papua New Guinea
312,"M 7.0 - 150 km NNE of Maumere, Indonesia",7.0,27-02-2015 13:45,4,6,0,760,us,0,1.362,12.0,mww,552.06,-7.2968,122.535,Indonesia
314,"M 6.7 - 103 km W of El Aguilar, Argentina",6.7,11-02-2015 18:57,4,6,1,700,us,0,2.11,16.0,mww,223.0,-23.1125,-66.688,Argentina
315,"M 6.8 - 81 km NNE of Port-Vila, Vanuatu",6.8,23-01-2015 03:47,1,4,1,711,us,0,2.019,13.0,mww,219.96,-17.0309,168.52,Vanuatu
317,"M 6.6 - 22 km ESE of Punta de Burica, Panama",6.6,08-12-2014 08:54,7,6,1,709,us,0,2.485,43.0,mww,20.0,7.9401,-82.6865,Panama
319,"M 6.6 - 106 km WSW of Sangay, Philippines",6.6,02-12-2014 05:11,1,3,0,670,us,0,2.6,9.0,mww,614.0,6.1572,123.126,Philippines
320,"M 6.8 - 157 km NW of Ternate, Indonesia",6.8,26-11-2014 14:33,6,5,1,713,us,0,1.421,19.0,mww,39.0,1.9604,126.575,Indonesia
321,"M 6.5 - 123 km WNW of Tobelo, Indonesia",6.5,21-11-2014 10:10,5,5,1,652,us,0,1.549,9.0,mww,35.0,2.2999,127.056,Indonesia
323,"M 7.1 - 155 km NW of Ternate, Indonesia",7.1,15-11-2014 02:31,4,6,1,779,us,0,1.397,18.0,mww,45.0,1.8929,126.522,Indonesia
324,"M 6.6 - 76 km NE of Finschhafen, Papua New Guinea",6.6,07-11-2014 03:33,2,6,1,671,us,0,3.557,13.0,mww,53.19,-5.9873,148.232,Papua New Guinea
328,"M 6.8 - 38 km NW of Aniso, Peru",6.8,24-08-2014 23:21,6,6,1,741,us,0,4.107,18.0,mww,101.0,-14.598,-73.5714,Peru
330,M 6.9 - Fiji region,6.9,21-07-2014 14:54,0,6,1,732,us,0,3.934,15.0,mww,615.42,-19.8015,-178.4,Fiji
332,"M 6.9 - 4 km W of Puerto Madero, Mexico",6.9,07-07-2014 11:23,8,7,1,1079,us,0,0.263,51.0,mww,53.0,14.724,-92.4614,Mexico
336,"M 7.9 - Rat Islands, Aleutian Islands, Alaska",7.9,23-06-2014 20:53,6,8,1,963,us,0,0.133,22.0,mww,109.0,51.8486,178.735,United States of America
340,"M 6.9 - 21 km SSW of Kamariótissa, Greece",6.9,24-05-2014 09:25,9,7,0,951,us,0,0.402,25.0,mww,6.43,40.2893,25.3889,Greece
345,"M 6.6 - 57 km SW of Panguna, Papua New Guinea",6.6,19-04-2014 01:04,0,6,1,670,us,0,3.803,11.0,mww,29.0,-6.6558,155.087,Papua New Guinea
346,"M 7.2 - 9 km ENE of Coyuquilla Norte, Mexico",7.2,18-04-2014 14:27,8,7,1,1017,us,0,2.25,46.0,mww,24.0,17.397,-100.972,Mexico
350,"M 6.6 - 15 km N of Belén, Nicaragua",6.6,11-04-2014 20:29,6,5,1,677,us,0,0.761,20.0,mww,135.0,11.642,-85.8779,Nicaragua
352,"M 7.1 - 56 km WSW of Panguna, Papua New Guinea",7.1,11-04-2014 07:07,0,7,1,776,us,0,3.729,21.0,mww,60.53,-6.5858,155.048,Papua New Guinea
361,"M 6.9 - 272 km ESE of Hotan, China",6.9,12-02-2014 09:19,3,8,0,733,us,0,7.496,18.0,mww,10.0,35.9053,82.5864,People's Republic of China
362,"M 6.5 - 32 km E of Port-Olry, Vanuatu",6.5,07-02-2014 08:40,0,5,1,650,us,0,0.409,20.0,mww,122.0,-15.0691,167.372,Vanuatu
364,"M 6.5 - 32 km W of Sola, Vanuatu",6.5,01-01-2014 16:03,0,4,1,650,us,0,3.997,14.0,mww,187.0,-13.8633,167.249,Vanuatu
366,M 7.7 - Scotia Sea,7.7,17-11-2013 09:04,1,8,1,912,us,0,8.05,23.0,mww,10.0,-60.2738,-46.4011,United Kingdom of Great Britain and Northern Ireland (the)
367,M 6.9 - Scotia Sea,6.9,16-11-2013 03:34,0,5,1,732,us,0,8.284,17.0,mww,9.97,-60.2627,-47.0621,United Kingdom of Great Britain and Northern Ireland (the)
368,"M 6.6 - 41 km SSW of Coquimbo, Chile",6.6,31-10-2013 23:03,6,7,1,723,us,0,0.636,31.0,mww,27.0,-30.2921,-71.5215,Chile
371,"M 6.8 - 62 km WSW of Panguna, Papua New Guinea",6.8,16-10-2013 10:30,0,6,1,711,us,0,5.79,9.0,mww,35.0,-6.4456,154.931,Papua New Guinea
372,"M 7.1 - 4 km SE of Sagbayan, Philippines",7.1,15-10-2013 00:12,9,8,1,1092,us,0,3.144,12.0,mww,19.04,9.8796,124.117,Philippines
376,"M 6.8 - 129 km WSW of Khuzdar, Pakistan",6.8,28-09-2013 07:34,7,7,0,1005,us,0,7.359,17.0,mww,12.0,27.1825,65.5052,Pakistan
377,"M 7.1 - 16 km WSW of Atiquipa, Peru",7.1,25-09-2013 16:42,8,7,1,843,us,0,4.446,17.0,mww,40.0,-15.8385,-74.5112,Peru
378,"M 7.7 - 113 km NW of Bela, Pakistan",7.7,24-09-2013 11:29,5,8,0,2015,us,0,7.241,17.0,mww,15.0,26.951,65.5009,Pakistan
381,"M 6.5 - 180 km NE of Lospalos, Timor Leste",6.5,01-09-2013 11:52,4,5,0,668,us,0,3.097,11.0,mww,112.0,-7.44,128.221,Indonesia
383,"M 6.5 - 29 km SE of Blenheim, New Zealand",6.5,16-08-2013 02:31,9,7,1,690,us,0,0.0,0.0,mww,8.2,-41.734,174.152,New Zealand
385,"M 6.5 - 38 km ESE of Blenheim, New Zealand",6.5,21-07-2013 05:09,6,7,1,693,us,229,0.0,20.0,mww,17.0,-41.704,174.337,New Zealand
386,M 7.3 - South Sandwich Islands region,7.3,15-07-2013 14:03,0,6,1,820,us,398,0.0,43.0,mww,11.0,-60.857,-25.07,United Kingdom of Great Britain and Northern Ireland (the)
387,"M 6.6 - 26 km NE of Kandrian, Papua New Guinea",6.6,07-07-2013 20:30,4,6,0,674,us,139,0.0,14.0,mww,56.0,-6.029,149.706,Papua New Guinea
388,"M 7.3 - 190 km ENE of Kokopo, Papua New Guinea",7.3,07-07-2013 18:35,0,4,1,820,us,117,0.0,24.0,mww,385.5,-3.917,153.927,Papua New Guinea
396,"M 6.5 - 33 km N of Rabaul, Papua New Guinea",6.5,23-04-2013 23:14,0,6,1,650,us,264,0.0,16.6,mww,10.0,-3.898,152.127,Papua New Guinea
397,"M 6.6 - 56 km WSW of Linqiong, China",6.6,20-04-2013 00:02,8,8,0,2083,us,548,0.0,12.6,mww,14.0,30.308,102.888,People's Republic of China
398,"M 7.2 - 252 km ENE of Kuril’sk, Russia",7.2,19-04-2013 03:05,5,7,1,804,us,770,0.0,10.1,mww,110.0,46.221,150.788,Russia
399,"M 6.6 - 23 km ESE of Aitape, Papua New Guinea",6.6,16-04-2013 22:55,7,7,1,672,us,445,0.0,11.0,mww,13.0,-3.214,142.542,Papua New Guinea
400,"M 7.7 - 79 km ESE of Kh?sh, Iran",7.7,16-04-2013 10:44,8,8,0,1421,us,506,0.0,26.6,mww,80.0,28.033,61.996,Iran
402,"M 7.0 - 260 km WSW of Abepura, Indonesia",7.0,06-04-2013 04:42,3,7,1,755,us,640,0.0,11.4,mww,66.0,-3.517,138.476,Indonesia
403,"M 6.5 - 36 km E of Finschhafen, Papua New Guinea",6.5,10-03-2013 22:51,0,6,1,650,us,317,0.0,14.2,mww,28.0,-6.598,148.174,Papua New Guinea
406,"M 6.6 - 183 km SW of Belaya Gora, Russia",6.6,14-02-2013 13:13,0,7,1,670,us,697,0.0,15.3,mww,11.0,67.631,142.508,Russia
407,"M 6.6 - 30 km SSW of Lata, Solomon Islands",6.6,09-02-2013 21:02,0,6,1,670,us,421,0.0,16.6,mww,18.0,-10.994,165.741,Solomon Islands
408,"M 6.9 - 2 km NNE of Yacuanquer, Colombia",6.9,09-02-2013 14:16,5,5,1,904,us,562,0.0,23.7,mww,145.0,1.135,-77.393,Colombia
409,"M 7.1 - 32 km SE of Lata, Solomon Islands",7.1,08-02-2013 15:26,9,6,1,780,us,334,0.0,16.5,mww,21.0,-10.928,166.018,Solomon Islands
410,"M 6.8 - 22 km ESE of Lata, Solomon Islands",6.8,08-02-2013 11:12,0,7,1,711,us,400,0.0,17.5,mww,12.0,-10.838,165.969,Solomon Islands
411,"M 6.7 - 33 km SSW of Lata, Solomon Islands",6.7,07-02-2013 18:59,0,6,1,691,us,387,0.0,26.5,mww,11.0,-10.997,165.655,Solomon Islands
412,"M 7.0 - 33 km NW of Lata, Solomon Islands",7.0,06-02-2013 01:54,0,6,0,754,us,445,0.0,17.5,mww,8.8,-10.499,165.588,Solomon Islands
415,"M 6.9 - 18 km SSW of Obihiro, Japan",6.9,02-02-2013 14:17,6,7,0,814,us,686,0.0,28.0,mww,107.0,42.77,143.092,Japan
416,"M 6.8 - 54 km N of Vallenar, Chile",6.8,30-01-2013 20:15,6,7,0,771,us,596,0.0,19.3,mww,45.0,-28.094,-70.653,Chile
418,"M 6.7 - 59 km SSW of Sola, Vanuatu",6.7,21-12-2012 22:28,0,4,0,691,us,521,0.0,13.7,mww,200.7,-14.344,167.286,Vanuatu
419,M 7.1 - Banda Sea,7.1,10-12-2012 16:53,5,5,0,843,us,517,0.0,8.7,mww,155.0,-6.533,129.825,Indonesia
422,"M 6.8 - 51 km NNE of Shwebo, Myanmar",6.8,11-11-2012 01:12,7,6,0,795,us,391,0.0,13.7,mww,13.7,23.005,95.885,Myanmar
424,"M 7.8 - 206 km SW of Prince Rupert, Canada",7.8,28-10-2012 03:04,8,7,0,1726,us,807,0.0,42.7,mww,14.0,52.788,-132.101,Canada
425,M 6.5 - Costa Rica,6.5,24-10-2012 00:45,6,6,0,745,us,691,0.0,34.4,mww,17.0,10.086,-85.298,Costa Rica
426,"M 6.6 - 163 km ENE of Tual, Indonesia",6.6,12-10-2012 00:31,3,5,0,675,us,291,0.0,17.7,mww,13.0,-4.892,134.03,Indonesia
427,"M 7.3 - 11 km WNW of San Agustín, Colombia",7.3,30-09-2012 16:31,7,6,0,1221,us,934,0.0,15.5,mww,170.0,1.929,-76.362,Colombia
428,"M 7.6 - 11 km ENE of Hojancha, Costa Rica",7.6,05-09-2012 14:42,8,7,0,1555,us,703,0.0,34.3,mww,35.0,10.085,-85.315,Costa Rica
431,"M 6.6 - 140 km WNW of Tobelo, Indonesia",6.6,26-08-2012 15:05,4,5,0,678,us,497,0.0,14.6,mww,91.1,2.19,126.837,Indonesia
433,"M 6.5 - 105 km ESE of Kokopo, Papua New Guinea",6.5,28-07-2012 20:03,5,6,0,653,us,576,0.0,11.7,mww,41.0,-4.651,153.173,Papua New Guinea
434,"M 6.6 - 76 km W of Neiafu, Tonga",6.6,28-04-2012 10:08,4,5,0,675,us,529,0.0,15.7,mww,134.7,-18.685,-174.705,Tonga
435,"M 6.7 - 86 km SSE of Manokwari, Indonesia",6.7,21-04-2012 01:16,0,7,0,691,us,370,0.0,15.4,mww,16.0,-1.617,134.276,Indonesia
436,"M 6.8 - 140 km N of Lae, Papua New Guinea",6.8,17-04-2012 07:13,6,5,0,732,us,597,0.0,12.6,mww,198.0,-5.462,147.117,Papua New Guinea
437,"M 6.7 - 22 km NW of Hacienda La Calera, Chile",6.7,17-04-2012 03:50,0,7,0,691,us,518,0.0,26.9,mww,29.0,-32.625,-71.365,Chile
438,"M 7.0 - 69 km ENE of San Luis, Mexico",7.0,12-04-2012 07:15,7,7,0,1000,us,474,0.0,95.9,mww,13.0,28.696,-113.104,Mexico
439,"M 6.5 - 41 km NW of El Habillal, Mexico",6.5,11-04-2012 22:55,7,6,0,1171,us,599,0.0,54.1,mwb,20.0,18.229,-102.689,Mexico
442,"M 7.1 - 23 km NE of Constitución, Chile",7.1,25-03-2012 22:37,7,7,0,1496,us,553,0.0,15.2,mww,40.7,-35.2,-72.217,Chile
443,"M 6.6 - 11 km ENE of Kainantu, Papua New Guinea",6.6,21-03-2012 22:15,6,6,0,709,us,640,0.0,10.1,mww,118.0,-6.242,145.955,Papua New Guinea
444,"M 7.4 - 6 km E of Santiago Llano Grande, Mexico",7.4,20-03-2012 18:02,9,8,0,1752,us,672,0.0,37.9,mww,20.0,16.493,-98.231,Mexico
445,"M 6.7 - 38 km NE of Saryg-Sep, Russia",6.7,26-02-2012 06:17,7,7,0,833,us,596,0.0,13.4,mww,12.0,51.708,95.991,Russia
446,"M 6.7 - 2 km NNE of Jimalalud, Philippines",6.7,06-02-2012 03:49,9,7,0,1551,us,572,0.0,11.1,mww,11.0,9.999,123.206,Philippines
449,"M 6.6 - 45 km NNE of Saryg-Sep, Russia",6.6,27-12-2011 15:21,0,7,0,670,us,545,0.0,17.6,mww,15.0,51.842,95.911,Russia
450,"M 7.1 - 25 km SSE of Wau, Papua New Guinea",7.1,14-12-2011 05:04,6,6,0,834,us,485,0.0,10.6,mww,135.0,-7.551,146.809,Papua New Guinea
451,"M 6.5 - 6 km SSW of Nuevo Balsas, Mexico",6.5,11-12-2011 01:47,8,7,0,1400,us,578,0.0,38.6,mww,59.0,17.986,-99.789,Mexico
452,"M 6.9 - 39 km SW of Santiago, Peru",6.9,28-10-2011 18:54,6,7,0,847,us,474,0.0,46.5,mww,24.0,-14.438,-75.966,Peru
453,"M 7.1 - 27 km NNE of Van, Turkey",7.1,23-10-2011 10:41,9,9,0,1096,us,693,0.0,19.7,mww,18.0,38.721,43.508,Turkey
454,"M 6.5 - 4 km ESE of Finschhafen, Papua New Guinea",6.5,14-10-2011 03:35,3,6,0,655,us,423,0.0,12.6,mww,37.0,-6.57,147.881,Papua New Guinea
455,"M 6.9 - 43 km NW of Mangan, India",6.9,18-09-2011 12:40,8,8,0,1562,us,383,0.0,13.0,mww,50.0,27.73,88.155,India
457,"M 6.7 - 68 km WSW of Kabanjahe, Indonesia",6.7,05-09-2011 17:55,5,6,0,915,us,447,0.0,15.3,mww,91.0,2.965,97.893,Indonesia
459,"M 7.0 - 64 km ESE of Contamana, Peru",7.0,24-08-2011 17:46,6,6,0,913,us,471,0.0,26.9,mww,147.0,-7.641,-74.525,Peru
463,"M 6.6 - 103 km NE of Angoram, Papua New Guinea",6.6,31-07-2011 23:38,3,6,0,674,us,229,0.0,16.6,mww,10.0,-3.518,144.828,Papua New Guinea
465,"M 6.7 - 41 km NNE of Miyako, Japan",6.7,22-06-2011 21:50,6,6,0,749,us,592,0.0,24.9,mww,33.0,39.955,142.205,Japan
467,"M 6.8 - 79 km W of Kirakira, Solomon Islands",6.8,23-04-2011 04:16,5,6,0,719,us,445,0.0,13.0,mww,79.0,-10.375,161.2,Solomon Islands
468,"M 6.6 - 17 km SSW of Ishikawa, Japan",6.6,11-04-2011 08:16,7,7,0,822,us,586,0.0,10.1,mww,11.0,37.001,140.401,Japan
469,"M 7.1 - 29 km ESE of Ishinomaki, Japan",7.1,07-04-2011 14:32,8,8,0,1114,us,446,0.0,17.7,mww,42.0,38.276,141.588,Japan
470,"M 6.6 - 7 km SW of Helio García Alfaro, Mexico",6.6,07-04-2011 13:11,7,6,0,897,us,518,0.0,37.2,mww,166.2,17.208,-94.338,Mexico
471,"M 6.9 - 27 km NNW of Tachilek, Myanmar",6.9,24-03-2011 13:55,7,9,0,1154,us,335,0.0,18.2,mww,8.0,20.687,99.822,Myanmar
479,"M 6.9 - 21 km N of Tomé, Chile",6.9,11-02-2011 20:05,7,7,0,988,us,382,0.0,34.7,mww,26.0,-36.422,-72.96,Chile
480,"M 7.2 - 46 km WSW of Dalbandin, Pakistan",7.2,18-01-2011 20:23,7,7,0,1449,us,372,0.0,25.3,mww,68.0,28.777,63.951,Pakistan
482,"M 7.2 - 42 km NNW of Carahue, Chile",7.2,02-01-2011 20:20,8,7,0,1054,us,397,0.0,30.1,mww,24.0,-38.355,-73.326,Chile
484,"M 6.7 - 111 km SE of Bam, Iran",6.7,20-12-2010 18:41,3,7,0,708,us,279,0.0,24.3,mwc,12.0,28.412,59.18,Iran
485,"M 6.6 - 52 km ENE of Kandrian, Papua New Guinea",6.6,02-12-2010 03:12,0,6,0,670,us,306,0.0,18.5,mwb,33.0,-6.001,149.977,Papua New Guinea
488,"M 7.0 - Near the south coast of Papua, Indonesia",7.0,29-09-2010 17:11,8,5,0,772,us,271,0.0,15.1,mwc,26.0,-4.963,133.76,Indonesia
489,"M 7.0 - 19 km NE of Methven, New Zealand",7.0,03-09-2010 16:35,8,8,0,1245,us,365,0.0,15.8,mwc,12.0,-43.522,171.83,New Zealand
490,M 7.1 - Ecuador,7.1,12-08-2010 11:54,6,5,0,945,us,672,0.0,12.4,mwc,206.7,-1.266,-77.306,Ecuador
491,"M 7.3 - 33 km NW of Port-Vila, Vanuatu",7.3,10-08-2010 05:23,7,7,0,850,us,405,0.0,20.2,mwc,25.0,-17.541,168.069,Vanuatu
492,"M 7.0 - 72 km ESE of Kimbe, Papua New Guinea",7.0,04-08-2010 22:01,4,6,0,757,us,396,0.0,12.7,mww,44.0,-5.746,150.765,Papua New Guinea
493,"M 6.5 - 118 km ESE of Madang, Papua New Guinea",6.5,04-08-2010 07:15,5,4,0,659,us,403,0.0,11.1,mwc,220.0,-5.486,146.822,Papua New Guinea
494,"M 7.6 - 61 km W of Bantogon, Philippines",7.6,23-07-2010 22:51,5,3,0,902,us,340,0.0,15.1,mwc,578.0,6.497,123.48,Philippines
495,"M 7.3 - New Britain region, Papua New Guinea",7.3,18-07-2010 13:34,8,7,0,831,us,397,0.0,18.2,mwc,35.0,-5.931,150.59,Papua New Guinea
496,"M 6.9 - 56 km SE of Kimbe, Papua New Guinea",6.9,18-07-2010 13:04,4,7,0,737,us,456,0.0,15.7,mwc,28.0,-5.966,150.428,Papua New Guinea
497,"M 6.6 - 30 km SSE of Cañete, Chile",6.6,14-07-2010 08:32,6,7,0,753,us,295,0.0,52.8,mwc,22.0,-38.067,-73.31,Chile
498,"M 6.7 - 55 km WSW of Kirakira, Solomon Islands",6.7,26-06-2010 05:30,5,6,0,696,us,392,0.0,18.7,mwc,35.0,-10.627,161.447,Solomon Islands
499,"M 6.6 - 135 km SSE of Biak, Indonesia",6.6,16-06-2010 03:58,0,7,0,670,us,309,0.0,25.0,mwc,10.5,-2.329,136.484,Indonesia
500,"M 7.0 - 121 km SSE of Biak, Indonesia",7.0,16-06-2010 03:16,3,7,0,755,us,307,0.0,18.1,mwc,18.0,-2.174,136.543,Indonesia
502,"M 7.2 - 100 km WNW of Sola, Vanuatu",7.2,27-05-2010 17:14,5,6,0,804,us,327,0.0,11.7,mwc,31.0,-13.698,166.643,Vanuatu
503,"M 7.2 - 45 km SSW of Meulaboh, Indonesia",7.2,09-05-2010 05:59,5,6,0,918,us,611,0.0,20.6,mwc,38.0,3.748,96.018,Indonesia
504,"M 6.9 - 233 km NNW of Qamdo, China",6.9,13-04-2010 23:49,6,9,0,773,us,410,0.0,14.9,mwc,17.0,33.165,96.548,People's Republic of China
506,"M 7.8 - 75 km E of Sinabang, Indonesia",7.8,06-04-2010 22:15,0,7,0,936,us,352,0.0,19.2,mwc,31.0,2.383,97.048,Indonesia
507,"M 7.2 - 12km SW of Delta, B.C., MX",7.2,04-04-2010 22:40,9,9,0,2910,ci,10,0.5137,239.0,mw,9.987,32.2862,-115.295,Mexico
508,"M 6.6 - 217 km N of Bamboo Flat, India",6.6,30-03-2010 16:54,5,6,0,701,us,413,0.0,16.7,mwc,34.0,13.667,92.831,India
511,"M 7.0 - 52 km NW of Santa Cruz, Chile",7.0,11-03-2010 14:55,7,7,0,874,us,403,0.0,17.1,mwc,18.0,-34.326,-71.799,Chile
512,"M 6.9 - 61 km NW of Santa Cruz, Chile",6.9,11-03-2010 14:39,7,7,0,1280,us,415,0.0,12.5,mwc,11.0,-34.29,-71.891,Chile
513,"M 6.8 - 141 km W of Bengkulu, Indonesia",6.8,05-03-2010 16:07,4,6,0,717,us,401,0.0,23.2,mwc,26.0,-3.762,100.991,Indonesia
514,"M 6.6 - 23 km WNW of Talcahuano, Chile",6.6,05-03-2010 11:47,7,7,0,736,us,255,0.0,27.8,mwb,18.0,-36.665,-73.374,Chile
515,"M 6.5 - 48 km NW of Sola, Vanuatu",6.5,04-03-2010 14:02,0,4,0,650,us,426,0.0,18.7,mwb,176.0,-13.571,167.227,Vanuatu
517,"M 8.8 - 36 km WNW of Quirihue, Chile",8.8,27-02-2010 06:34,8,8,0,1991,official,454,0.0,17.8,mww,22.9,-36.122,-72.898,Chile
519,"M 7.0 - 10 km SE of Léogâne, Haiti",7.0,12-01-2010 21:53,9,9,0,1623,us,500,0.0,22.7,mwc,13.0,18.443,-72.571,Haiti
522,"M 7.1 - 94 km SE of Gizo, Solomon Islands",7.1,03-01-2010 22:36,5,7,0,780,us,377,0.0,15.0,mwc,10.0,-8.783,157.354,Solomon Islands
523,"M 6.6 - 98 km SE of Gizo, Solomon Islands",6.6,03-01-2010 21:48,5,7,0,672,us,282,0.0,16.6,mwc,10.0,-8.726,157.487,Solomon Islands
524,"M 6.5 - 92 km N of Iquique, Chile",6.5,13-11-2009 03:05,6,7,0,698,us,390,0.0,17.7,mwc,27.0,-19.394,-70.321,Chile
525,"M 7.3 - 77 km ENE of Ba, Fiji",7.3,09-11-2009 10:44,0,4,0,820,us,430,0.0,15.0,mwc,595.0,-17.239,178.331,Fiji
526,"M 6.6 - 29 km NNW of Bima, Indonesia",6.6,08-11-2009 19:41,7,6,0,677,us,305,0.0,20.4,mwc,18.0,-8.207,118.631,Indonesia
528,"M 6.9 - 268 km WSW of Tual, Indonesia",6.9,24-10-2009 14:40,4,6,0,972,us,397,0.0,11.0,mwc,130.0,-6.133,130.385,Indonesia
530,"M 7.4 - 143 km NW of Sola, Vanuatu",7.4,07-10-2009 23:13,0,7,0,842,us,314,0.0,20.2,mwc,31.1,-13.093,166.497,Vanuatu
532,"M 7.7 - 148 km NW of Sola, Vanuatu",7.7,07-10-2009 22:03,4,7,0,916,us,283,0.0,23.2,mww,45.0,-13.006,166.51,Vanuatu
533,"M 6.6 - 49 km SSE of Sungai Penuh, Indonesia",6.6,01-10-2009 01:52,7,7,0,787,us,417,0.0,30.1,mwc,9.0,-2.482,101.524,Indonesia
534,"M 7.6 - 30 km WSW of Pariaman, Indonesia",7.6,30-09-2009 10:16,8,8,0,1639,us,498,0.0,14.0,mwc,81.0,-0.72,99.867,Indonesia
536,"M 7.0 - 66 km SSW of Banjar, Indonesia",7.0,02-09-2009 07:55,7,7,0,1175,us,312,0.0,16.3,mwc,46.0,-7.782,107.297,Indonesia
537,"M 6.7 - 112 km WSW of Padang, Indonesia",6.7,16-08-2009 07:38,5,6,0,753,us,369,0.0,14.9,mwc,20.0,-1.479,99.49,Indonesia
541,"M 6.9 - 96 km WNW of Bahía de Kino, Mexico",6.9,03-08-2009 17:59,5,7,0,1202,us,243,0.0,35.0,mwc,10.0,29.039,-112.903,Mexico
542,"M 7.8 - 97 km WSW of Te Anau, New Zealand",7.8,15-07-2009 09:22,6,8,0,1165,us,434,0.0,16.8,mwc,12.0,-45.762,166.562,New Zealand
543,"M 6.7 - 190 km ESE of Kokopo, Papua New Guinea",6.7,23-06-2009 14:19,5,5,0,693,us,269,0.0,13.8,mwc,64.0,-5.157,153.782,Papua New Guinea
546,"M 7.2 - 196 km SSE of Sarangani, Philippines",7.2,11-02-2009 17:34,3,7,0,802,us,432,0.0,18.6,mwc,20.0,3.886,126.387,Indonesia
547,"M 7.4 - 86 km WNW of Manokwari, Indonesia",7.4,03-01-2009 22:33,7,7,0,846,us,314,0.0,21.1,mwc,23.0,-0.691,133.305,Indonesia
548,"M 6.6 - 50 km S of Jurm, Afghanistan",6.6,03-01-2009 20:23,5,4,0,765,us,344,0.0,22.6,mwc,204.8,36.419,70.743,Afghanistan
549,"M 7.7 - 140 km WNW of Manokwari, Indonesia",7.7,03-01-2009 19:43,5,7,0,918,us,288,0.0,29.8,mwc,17.0,-0.414,132.885,Indonesia
550,"M 7.4 - 135 km NW of Gorontalo, Indonesia",7.4,16-11-2008 17:02,9,7,0,848,us,365,0.0,33.7,mww,30.0,1.271,122.091,Indonesia
551,"M 6.7 - 19 km SW of Brisas Barra de Suchiate, Mexico",6.7,16-10-2008 19:41,5,6,0,731,us,481,0.0,28.6,mwc,24.0,14.423,-92.364,Mexico
552,"M 6.7 - 131 km SE of Nookat, Kyrgyzstan",6.7,05-10-2008 15:52,0,6,0,691,us,529,0.0,22.3,mwc,27.4,39.533,73.824,Kyrgyzstan
554,"M 6.6 - 73 km WNW of Tobelo, Indonesia",6.6,11-09-2008 00:00,0,6,0,670,us,463,0.0,14.1,mwc,96.0,1.885,127.363,Indonesia
555,"M 6.9 - 75 km WNW of Sola, Vanuatu",6.9,08-09-2008 18:52,0,6,0,732,us,531,0.0,14.9,mwc,110.0,-13.501,166.967,Vanuatu
